transaction_id,order_date,customer_id,customer_name,region,product_category,quantity,unit_price,total_amount,payment_mode,order_status,created_timestamp
300000,,4063,Customer_5122,North,Groceries,4,2207.14,8828.56,Debit Card,,10:22.0
300001,,3810,Customer_3950,north ,Electronics,5,1686.11,10136.24,UPI,Completed,10:22.0
300002,04-04-2024,1159,Customer_4348,,Groceries,3,3304.23,9912.69,Debit Card,Cancelled,10:22.0
300003,25-05-2023,1471,Customer_5527,West,Groceries,5,4670.31,23351.55,Debit Card,Cancelled,10:22.0
300004,08-06-2023,4457,Customer_3665,north ,Clothing,5,717.75,3588.75,credit card,Pending,10:22.0
300005,07-04-2022,3881,Customer_1193,West,Electronics,2,2848.52,5697.04,Credit Card,,10:22.0
300006,27-02-2023,3195,Customer_185,East,Electronics,3,4498.48,13495.44,Debit Card,Pending,10:22.0
300007,11/29/2022,1056,Customer_2087,SOUTH,Electronics,3,590.56,1771.68,Credit Card,Cancelled,10:22.0
300008,15-07-2022,4133,Customer_4762,South,Electronics,3,2519.94,7559.82,UPI,Pending,10:22.0
300009,24-05-2024,4034,Customer_2143,East,Electronics,5,4339.63,28102.17,UPI,completed,10:22.0
300010,09-03-2024,4669,Customer_4403,north ,Electronics,4,4512.22,18048.88,Cash,,10:22.0
300011,03/30/2023,2510,Customer_4679,East,Groceries,3,2620.33,7860.99,UPI,Pending,10:22.0
300012,16-05-2022,1511,Customer_5653,north ,Clothing,5,222.26,1111.3,Credit Card,Cancelled,10:22.0
300013,06-08-2023,3735,Customer_5108,,Electronics,2,617.63,1235.26,Credit Card,Completed,10:22.0
300014,,3258,Customer_2106,,Electronics,4,2974.91,11899.64,credit card,Completed,10:22.0
300015,01-02-2022,1646,Customer_4119,SOUTH,Groceries,2,706.91,1413.82,Credit Card,completed,10:22.0
300016,27-03-2022,3114,Customer_5965,West,Electronics,4,832.15,3328.6,Debit Card,Pending,10:22.0
300017,09-05-2023,3865,Customer_5751,South,Clothing,5,3883.37,19416.85,,,10:22.0
300018,03/28/2024,3811,Customer_298,north ,Electronics,1,3778.39,3324.8,Debit Card,,10:22.0
300019,18-03-2024,3849,Customer_860,north ,Groceries,4,4229.59,16918.36,,Cancelled,10:22.0
300020,03-09-2022,1104,Customer_936,,Groceries,2,618.1,1236.2,,Completed,10:22.0
300021,16-02-2022,3902,Customer_702,SOUTH,Groceries,5,1070.91,5354.55,Cash,,10:22.0
300022,25-05-2024,4140,Customer_2829,East,Furniture,4,4181.51,16726.04,,Completed,10:22.0
300023,16-05-2024,2386,Customer_3242,SOUTH,Groceries,1,3633.33,3633.33,credit card,Completed,10:22.0
300024,10-12-2023,3370,Customer_3650,North,Furniture,1,4049.19,4049.19,Credit Card,,10:22.0
300025,07-12-2023,1599,Customer_2603,North,Groceries,3,4949.75,14849.25,Credit Card,Pending,10:22.0
300026,03/13/2023,4802,Customer_5843,north ,Groceries,3,4335.71,13007.13,Debit Card,Completed,10:22.0
300027,11-05-2022,2185,Customer_561,,Groceries,2,2650.27,5300.54,Credit Card,Cancelled,10:22.0
300028,14-06-2024,1626,Customer_5467,SOUTH,Electronics,4,1622.76,6491.04,UPI,Completed,10:22.0
300029,12-05-2022,2322,Customer_1676,North,Groceries,4,2891.42,11565.68,UPI,,10:22.0
300030,21-06-2023,4604,Customer_1270,East,Furniture,3,3229.07,9687.21,Cash,Completed,10:22.0
300031,08-02-2024,2547,Customer_2088,North,Electronics,4,1743.03,6972.12,Cash,completed,10:22.0
300032,03-05-2022,1031,Customer_5578,,Furniture,4,3877.59,15510.36,Credit Card,completed,10:22.0
300033,12-02-2023,4758,Customer_4988,,Clothing,1,554.49,554.49,Debit Card,Pending,10:22.0
300034,04/25/2024,2392,Customer_508,South,Groceries,3,3919.02,11757.06,Credit Card,Completed,10:22.0
300035,19-01-2024,4541,Customer_2908,SOUTH,Groceries,5,256.79,1283.95,UPI,Pending,10:22.0
300036,11-04-2023,2377,Customer_1656,north ,Furniture,3,2540.03,7620.09,,Pending,10:22.0
